"Internal_node_number","Environmental_PC1","Environmental_PC2","Environmental_PC3","Environmental_PC4","Environmental_PC5","Speciation_rates","Host_use_evolution_PC_1","Host_use_evolution_PC_2","Host_use_breadth_evolution"
419,-734.8190278,6.777824298,0.688912879,6.571452784,-0.442677049,3.854263158,4.109766518,1.891777744,4.188024115
420,7.947321956,-1.868283714,-1.624502942,-2.786577337,0.608873504,-3.290823901,-5.600505047,-0.125167076,-10.03045508
421,-6.468969831,-0.557440798,-8.238246173,-1.495737026,-1.216842892,1.04744076,6.272785179,-0.131068491,-4.343350928
422,854.319889,3.113833343,2.683363833,-4.056689541,-0.158936039,-3.158954041,3.815245853,1.230692401,-1.81543233
423,295.8043298,0.175631931,-1.853359792,1.455482298,0.753475772,0.916523975,-0.078830031,-2.682955628,-3.554196918
424,-4.296871241,-3.240801628,-2.18187278,1.725172373,2.871172062,1.591072933,0.491498097,-4.5685103,-1.49096179
425,2.772335244,-3.029661746,-5.411862534,1.559288281,4.494101922,-5.566176382,-2.040146596,-4.918208628,-1.813391325
426,-205.8052558,0.542657628,-0.039666642,4.816537964,4.740604422,3.179122402,1.299242393,1.040133491,1.270572958
427,820.8287638,-0.176199076,0.261867177,-0.81775529,-7.382337774,-2.166392946,7.959182283,6.370088372,3.86255014
428,-620.4473137,-6.500586872,-1.553718084,0.987658686,-8.088700855,-9.169104405,-5.41104788,-3.454622102,-4.007600531
429,828.3463839,15.31666814,-0.001520652,0.111776134,6.648825986,3.649861877,8.106856143,7.534680709,5.260528928
430,-447.7252173,-3.452412389,4.258478774,-1.861959792,-5.18611214,0.936408339,-3.35088145,-3.47789979,-1.417941762
431,-13.0584891,0.65638691,-3.347105413,5.476789639,0.931236594,-2.580617344,6.465319702,0.14653287,1.27516877
432,1.980136148,2.324810997,-10.05161862,4.663481656,7.030727777,-2.39133355,-6.027419036,-1.576627494,-0.889897098
433,-5.782680734,-4.603357638,3.231869536,-2.083670414,-12.89860224,5.48553729,-9.079523627,11.04906508,9.530760677
434,-25.13995195,-11.66046278,-10.40035196,-4.519182777,4.085835657,-9.232246726,3.139815812,10.72480143,9.555770957
435,214.9592115,2.963856524,-6.476387278,0.864319773,-1.085369412,-1.430403298,-0.867832245,1.997491339,2.187950688
436,654.5133879,-0.213868843,2.154181126,3.651834737,-0.455577716,-0.052259003,0.30659554,0.84226353,-0.929782537
437,28.90489321,-4.817274914,-2.23640574,-6.903979094,-4.324086316,-5.089254211,-2.997495161,-2.756839608,-4.989077302
438,29.08977617,-1.823827769,-0.335377406,-9.94140547,6.571492415,0.148933414,-0.923876576,2.349565203,3.192981551
439,-39.10994751,-6.316729121,0.257717496,6.007520325,5.063565536,2.24075722,-2.950386834,-8.410806991,-2.034115902
440,-52.90598413,-3.110501128,-1.530563707,8.777975713,6.982859959,7.71344395,2.678836213,1.275002714,0.530182253
441,47.20239403,-0.14647735,1.746732895,2.516334175,0.627475063,0.011805525,-0.106177119,-2.140667094,-1.988651501
442,-49.88358007,-3.818744003,2.185392272,-2.412300119,-5.927430881,-1.672377234,-2.530013619,-5.240683741,-1.774936918
443,35.89690518,-0.170294791,-10.16228335,-7.158361824,-1.441321736,-5.931014543,-2.277399221,-3.472390255,-1.573745813
444,-25.12328841,5.160961725,1.076663555,-8.212667777,4.634330941,1.816196021,9.776548594,-2.077995252,2.163820397
445,-26.90090157,-9.771904373,-3.449797808,-6.231831476,-0.460005041,0.269802002,-1.934692321,-3.931215453,-3.370985504
446,-29.14493707,-3.158937316,-2.311546634,13.41451742,1.106559863,-3.719783614,-2.31669385,6.070588795,5.294832266
447,-99.06638461,-3.298988808,10.13180573,6.575647096,-6.666105671,-1.009218167,14.70770205,7.485315451,3.631210599
448,81.61339771,-11.50549502,4.933819295,-5.21902081,-18.09816554,-9.320184214,-11.52718444,-18.71299874,1.320707606
449,-46.20928875,-3.410406057,-15.12901568,10.89053395,-6.770542722,-16.07232121,-4.303681777,0.261627943,5.659595391
450,40.62335633,0.343581334,-0.107726746,-2.40519061,3.799312024,0.703343354,-0.56459664,-1.967358016,-3.302199991
451,-7.010514462,-1.758229037,-3.356630646,-5.512773511,3.812051727,-2.498545761,-1.263685279,-3.808246593,-3.05262619
452,13.09014285,12.08977968,3.24953158,5.648513906,4.67936869,0.74531373,2.277105121,2.46449854,2.53410157
453,-13.56329527,-8.834814485,-11.03534115,-5.392038364,-3.948108436,-2.854102896,-8.150152704,-5.788372977,1.803899353
454,-86.41078077,2.38580208,2.466315475,-1.091525379,3.164241726,1.173937334,4.800661656,7.235424296,6.835978804
455,19.8370852,-3.20596052,9.660699908,8.199434416,0.479305526,1.442708006,-0.133685667,0.480643113,-9.176730594
456,36.75601541,11.48716111,2.747598583,1.590547813,-14.12225193,6.53727244,7.795269447,2.989052753,-4.389443411
457,-30.46885698,13.16474283,5.394187036,1.765653322,-0.169897577,5.358081259,4.01408732,13.35353839,10.62402508
458,30.80705123,-0.585062674,2.112803802,-0.579000238,1.810640743,-2.387147717,0.399397235,4.495505077,-4.31534002
459,13.98021961,-1.1731224,-5.201915334,10.54258601,4.706441473,2.674000695,-3.376230269,1.829381827,-1.569407363
460,-156.5081379,17.25651664,-14.08343474,9.536228871,-17.23395432,4.425907459,-8.870888069,0.986918167,0.576826908
461,-11.21854325,-3.66085107,1.812901164,2.98652948,8.461033101,4.629257624,2.492961,0.391295988,20.96767609
462,-8.5972656,-2.943058487,-1.629958835,-4.081919782,1.337988381,-6.342802833,-3.699052742,-0.978716972,-3.369891206
463,-11.29961136,3.958321334,-3.715790463,-0.196388557,3.185394083,2.348627186,-0.599755318,-0.260950366,4.184856552
464,-10.92002009,-0.263446872,-0.261234833,-7.040885041,1.181852849,-0.777329268,-0.251075436,2.442766,4.101635131
465,2.794691,-0.006074259,-1.458995188,1.209422394,-0.177024417,-0.020410717,0.992915546,0.333576515,-3.37910133
466,16.45672452,-11.64943952,-7.645129007,-2.819213004,-0.73645241,-7.833083407,-9.939190433,1.696282609,-5.267389185
467,-4.807515828,-3.432283769,10.69622349,2.733842058,5.122124882,-0.456394217,5.229079429,9.557170363,2.479955774
468,1.78E-10,-1.430341082,-4.917519032,-5.620951625,-5.226186528,-6.767251615,-6.520610419,-3.162748833,-0.794334123
469,15.68303944,-2.055458612,-1.758669161,-5.266978665,-2.190380176,-5.548037621,-5.047332399,-0.994349834,-12.41408652
470,-5.262959549,-3.797862514,-1.722970783,-3.501658215,-4.813298907,-3.639408358,-1.430978199,-1.184732968,0.919158986
471,4.50943181,1.493652654,-1.911466281,-1.687578696,1.761447045,-2.009443942,-7.509650149,-1.379856591,6.548435157
472,-2.543148116,-3.128932996,-6.184752317,-4.240459474,-1.565704587,-9.535731648,-8.641658784,-5.221096442,-5.863027966
473,-85.98721676,-0.496630186,1.96716023,-0.195461001,-2.059435639,-0.834086876,-0.626208816,-3.147154385,0.24249348
474,-32.56021132,-0.523713045,1.435592749,-5.033901772,-1.772217496,0.323653011,1.778762571,-0.436246729,1.067681949
475,-26.49675584,3.519893668,4.648266046,2.515574434,2.633369782,3.622959819,-0.665069565,1.096125846,4.210911733
476,459.5856554,-5.15839929,1.434663565,0.331994143,3.042913458,-0.863541637,-2.215589771,-0.935386466,1.915891834
477,65.88901527,-1.039088859,1.486192551,-1.124855232,-1.575430776,1.63039047,-1.387405134,-0.26246201,1.489538942
478,177.1328934,-2.769727435,1.526447717,-2.941307491,0.556194284,-4.218339553,-4.184806951,-1.666686381,-10.36084203
479,0.855535942,-1.053039003,1.301570049,2.149002562,-2.05200816,-2.414173239,-0.673997062,0.419345195,1.07233264
480,-6.232428052,-2.054270206,-0.223784172,4.92266713,-3.214024886,-2.363243878,-2.515995029,-0.610409307,-4.298329294
481,-5.92854884,-1.454753738,-11.72544212,12.60025462,13.9035246,2.463370015,8.411470904,8.244305112,17.62127516
482,-33.97224578,3.058974113,1.863899359,0.696569039,-9.439530247,-2.088825875,-3.686455202,-2.487319137,-6.09474414
483,475.0287625,-3.724002643,-2.157102273,-2.291953003,2.982996919,-5.756476921,-5.328389659,-3.825941517,-1.748921444
484,-3.05345778,-5.844195981,7.883051729,-6.285348461,5.784207287,4.396672541,6.136926514,0.849230569,1.432257176
485,-683.9849597,2.533784483,-3.505849147,-1.324132728,-1.349692258,3.144080326,2.349614763,2.018603687,3.464167851
486,-31.12081471,-1.466736153,0.793731648,-2.970648974,-0.106304456,-2.717900169,-0.009223412,1.281297413,0.164651493
